Stade,Ville,Capacité,Match le plus proche,Date
Stade Mohammed V,Casablanca,67000,Maroc vs Sénégal,12/01/2026
Stade Ibn Batouta,Tanger,65000,Nigeria vs Cameroun,14/01/2026
Stade de Marrakech,Marrakech,45000,Égypte vs Ghana,16/01/2026
Stade Adrar,Agadir,41000,Côte d'Ivoire vs Mali,18/01/2026
Complexe Moulay Abdellah,Rabat,53000,Maroc vs Égypte,20/01/2026
Stade de Fès,Fès,35000,Tunisie vs Algérie,22/01/2026
Stade Grand Stade de Casablanca,Casablanca,93000,Finale CAN 2025,09/02/2026
Stade Municipal de Kenitra,Kenitra,15000,Burkina Faso vs Zambie,24/01/2026
Stade Prince Moulay Abdellah,Rabat,52000,Angola vs Mauritanie,26/01/2026
Stade Honneur d'Oujda,Oujda,20000,Guinée vs Mozambique,28/01/2026
Stade El Abdi,El Jadida,10000,Madagascar vs Namibie,30/01/2026
Stade Saniat Rmel,Tétouan,12000,Sierra Leone vs Libéria,01/02/2026
